,class,sha256,api_1,api_2,api_3,api_4,api_5,api_6,api_7,api_8,api_9,api_10,api_11,api_12,api_13,api_14,api_15,api_16,api_17,api_18,api_19,api_20,api_21,api_22,api_23,api_24,api_25,api_26,api_27,api_28,api_29,api_30,api_31,api_32,api_33,api_34,api_35,api_36,api_37,api_38,api_39,api_40,api_41,api_42,api_43,api_44,api_45,api_46,api_47,api_48,api_49,api_50,api_51,api_52,api_53,api_54,api_55,api_56,api_57,api_58,api_59,api_60,api_61,api_62,api_63,api_64,api_65,api_66,api_67,api_68,api_69,api_70,api_71,api_72,api_73,api_74,api_75,api_76,api_77,api_78,api_79,api_80,api_81,api_82,api_83,api_84,api_85,api_86,api_87,api_88,api_89,api_90,api_91,api_92,api_93,api_94,api_95,api_96,api_97,api_98,api_99,api_100,api_101,api_102,api_103,api_104,api_105
0,worm,009a83236c600fd7ac034973f064284cec62f86631fe96e900cb664f86061431,GetSystemDirectoryA,IsDBCSLeadByte,LocalAlloc,CreateSemaphoreW,CreateSemaphoreA,GlobalAddAtomW,lstrcpynW,LoadLibraryExW,SearchPathW,CreateFileW,CreateFileMappingW,MapViewOfFileEx,GetSystemMetrics,RegisterClipboardFormatW,SystemParametersInfoW,GetDC,GetDeviceCaps,ReleaseDC,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,GetSystemMetrics,LoadCursorW,RegisterClassW,RegisterClassExW,LoadLibraryExW,LoadLibraryW,GetCommandLineA,GetStartupInfoA,LockResource,GetModuleFileNameA,IsBadWritePtr,RegisterClipboardFormatW,SystemParametersInfoW,GetSystemMetrics,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,LoadLibraryW,LoadLibraryExW,LoadCursorW,RegisterClassW,GetKeyboardType,GetCommandLineA,GetStartupInfoA,GetVersion,GetModuleFileNameA,lstrcpynA,GetThreadLocale,GetLocaleInfoW,GetLocaleInfoA,lstrlenA,LoadLibraryExW,SearchPathW,FindResourceExW,LoadResource,LoadStringA,LocalAlloc,VirtualAllocEx,GetThreadLocale,GetLocaleInfoA,GetLocaleInfoW,EnumCalendarInfoA,CreateEventA,LoadLibraryExW,lstrcpyA,CompareStringA,lstrcmpA,WaitForSingleObjectEx,WaitForSingleObject,GetProcessVersion,GlobalAlloc,DuplicateHandle,WSAStartup,LoadLibraryExW,CreateSemaphoreA,CreateSemaphoreW,ReleaseSemaphore,WaitForSingleObject,WaitForSingleObjectEx,GetWindowsDirectoryW,LocalAlloc,FindFirstFileExW,FindFirstFileA,GetModuleFileNameA,CreateFileW,WriteFile,CopyFileExW,CopyFileA,OpenEventW,WaitForSingleObject,WaitForSingleObjectEx,LoadLibraryW,LoadLibraryExW,DuplicateHandle,DeviceIoControl,SwitchToThread,WSACleanup,FreeLibrary,VirtualQueryEx,ResetEvent,VirtualFreeEx,UnregisterClassW
1,worm,191828200aa2bd78f3548fb6a47407b05905efee6e83e0890ccf6ef2160150b1,GetSystemDirectoryA,IsDBCSLeadByte,LocalAlloc,CreateSemaphoreW,CreateSemaphoreA,GlobalAddAtomW,lstrcpynW,LoadLibraryExW,SearchPathW,CreateFileW,CreateFileMappingW,MapViewOfFileEx,GetSystemMetrics,RegisterClipboardFormatW,SystemParametersInfoW,GetDC,GetDeviceCaps,ReleaseDC,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,GetSystemMetrics,LoadCursorW,RegisterClassW,RegisterClassExW,LoadLibraryExW,LoadLibraryW,GetCommandLineA,GetStartupInfoA,LockResource,GetModuleFileNameA,IsBadWritePtr,RegisterClipboardFormatW,SystemParametersInfoW,GetSystemMetrics,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,LoadLibraryW,LoadLibraryExW,LoadCursorW,RegisterClassW,GetKeyboardType,GetCommandLineA,GetStartupInfoA,GetVersion,GetModuleFileNameA,lstrcpynA,GetThreadLocale,GetLocaleInfoW,GetLocaleInfoA,lstrlenA,LoadLibraryExW,SearchPathW,FindResourceExW,LoadResource,LoadStringA,LocalAlloc,VirtualAllocEx,GetThreadLocale,GetLocaleInfoA,GetLocaleInfoW,EnumCalendarInfoA,CreateEventA,LoadLibraryExW,lstrcpyA,CompareStringA,lstrcmpA,WaitForSingleObjectEx,WaitForSingleObject,GetProcessVersion,GlobalAlloc,DuplicateHandle,WSAStartup,LoadLibraryExW,CreateSemaphoreA,CreateSemaphoreW,ReleaseSemaphore,WaitForSingleObject,WaitForSingleObjectEx,GetWindowsDirectoryW,LocalAlloc,FindFirstFileExW,FindFirstFileA,GetModuleFileNameA,CreateFileW,WriteFile,CopyFileExW,CopyFileA,OpenEventW,WaitForSingleObject,WaitForSingleObjectEx,LoadLibraryW,LoadLibraryExW,DuplicateHandle,DeviceIoControl,SwitchToThread,WSACleanup,FreeLibrary,VirtualQueryEx,ResetEvent,VirtualFreeEx,UnregisterClassW
2,worm,1a1937fe8a401ca27be4514acc4f811442d8201abbad2a58276bc53cdac676f6,GetSystemDirectoryA,IsDBCSLeadByte,LocalAlloc,CreateSemaphoreW,CreateSemaphoreA,GlobalAddAtomW,lstrcpynW,LoadLibraryExW,SearchPathW,CreateFileW,CreateFileMappingW,MapViewOfFileEx,GetSystemMetrics,RegisterClipboardFormatW,SystemParametersInfoW,GetDC,GetDeviceCaps,ReleaseDC,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,GetSystemMetrics,LoadCursorW,RegisterClassW,RegisterClassExW,LoadLibraryExW,LoadLibraryW,GetCommandLineA,GetStartupInfoA,LockResource,GetModuleFileNameA,IsBadWritePtr,RegisterClipboardFormatW,SystemParametersInfoW,GetSystemMetrics,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,LoadLibraryW,LoadLibraryExW,LoadCursorW,RegisterClassW,GetKeyboardType,GetCommandLineA,GetStartupInfoA,GetVersion,GetModuleFileNameA,lstrcpynA,GetThreadLocale,GetLocaleInfoW,GetLocaleInfoA,lstrlenA,LoadLibraryExW,SearchPathW,FindResourceExW,LoadResource,LoadStringA,LocalAlloc,VirtualAllocEx,GetThreadLocale,GetLocaleInfoA,GetLocaleInfoW,EnumCalendarInfoA,CreateEventA,LoadLibraryExW,lstrcpyA,CompareStringA,lstrcmpA,WaitForSingleObjectEx,WaitForSingleObject,GetProcessVersion,GlobalAlloc,DuplicateHandle,WSAStartup,LoadLibraryExW,CreateSemaphoreA,CreateSemaphoreW,ReleaseSemaphore,WaitForSingleObject,WaitForSingleObjectEx,GetWindowsDirectoryW,LocalAlloc,FindFirstFileExW,FindFirstFileA,GetModuleFileNameA,CreateFileW,WriteFile,CopyFileExW,CopyFileA,OpenEventW,WaitForSingleObject,WaitForSingleObjectEx,LoadLibraryW,LoadLibraryExW,DuplicateHandle,DeviceIoControl,SwitchToThread,WSACleanup,FreeLibrary,VirtualQueryEx,ResetEvent,VirtualFreeEx,UnregisterClassW
3,worm,21bbf357ac6d8347c68ec65fb8283a5f1185f69918695975ed39360044ffb8f0,GetSystemDirectoryA,IsDBCSLeadByte,LocalAlloc,CreateSemaphoreW,CreateSemaphoreA,GlobalAddAtomW,lstrcpynW,LoadLibraryExW,SearchPathW,CreateFileW,CreateFileMappingW,MapViewOfFileEx,GetSystemMetrics,RegisterClipboardFormatW,SystemParametersInfoW,GetDC,GetDeviceCaps,ReleaseDC,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,GetSystemMetrics,LoadCursorW,RegisterClassW,RegisterClassExW,LoadLibraryExW,LoadLibraryW,GetCommandLineA,GetStartupInfoA,LockResource,GetModuleFileNameA,IsBadWritePtr,RegisterClipboardFormatW,SystemParametersInfoW,GetSystemMetrics,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,LoadLibraryW,LoadLibraryExW,LoadCursorW,RegisterClassW,GetKeyboardType,GetCommandLineA,GetStartupInfoA,GetVersion,GetModuleFileNameA,lstrcpynA,GetThreadLocale,GetLocaleInfoW,GetLocaleInfoA,lstrlenA,LoadLibraryExW,SearchPathW,FindResourceExW,LoadResource,LoadStringA,LocalAlloc,VirtualAllocEx,GetThreadLocale,GetLocaleInfoA,GetLocaleInfoW,EnumCalendarInfoA,CreateEventA,LoadLibraryExW,lstrcpyA,CompareStringA,lstrcmpA,WaitForSingleObjectEx,WaitForSingleObject,GetProcessVersion,GlobalAlloc,DuplicateHandle,WSAStartup,LoadLibraryExW,CreateSemaphoreA,CreateSemaphoreW,ReleaseSemaphore,WaitForSingleObject,WaitForSingleObjectEx,GetWindowsDirectoryW,LocalAlloc,FindFirstFileExW,FindFirstFileA,FindClose,FileTimeToLocalFileTime,FileTimeToDosDateTime,,,,,,,,,,,,,,,,
4,worm,39563933eebcb3b09b189000e1bda255b39739792fc1361563c64631f9d56288,GetSystemDirectoryA,IsDBCSLeadByte,LocalAlloc,CreateSemaphoreW,CreateSemaphoreA,GlobalAddAtomW,lstrcpynW,LoadLibraryExW,SearchPathW,CreateFileW,CreateFileMappingW,MapViewOfFileEx,GetSystemMetrics,RegisterClipboardFormatW,SystemParametersInfoW,GetDC,GetDeviceCaps,ReleaseDC,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,GetSystemMetrics,LoadCursorW,RegisterClassW,RegisterClassExW,LoadLibraryExW,LoadLibraryW,GetCommandLineA,GetStartupInfoA,LockResource,GetModuleFileNameA,IsBadWritePtr,RegisterClipboardFormatW,SystemParametersInfoW,GetSystemMetrics,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,LoadLibraryW,LoadLibraryExW,LoadCursorW,RegisterClassW,GetKeyboardType,GetCommandLineA,GetStartupInfoA,GetVersion,GetModuleFileNameA,lstrcpynA,GetThreadLocale,GetLocaleInfoW,GetLocaleInfoA,lstrlenA,LoadLibraryExW,SearchPathW,FindResourceExW,LoadResource,LoadStringA,LocalAlloc,VirtualAllocEx,GetThreadLocale,GetLocaleInfoA,GetLocaleInfoW,EnumCalendarInfoA,CreateEventA,LoadLibraryExW,lstrcpyA,CompareStringA,lstrcmpA,WaitForSingleObjectEx,WaitForSingleObject,GetProcessVersion,GlobalAlloc,DuplicateHandle,WSAStartup,LoadLibraryExW,CreateSemaphoreA,CreateSemaphoreW,ReleaseSemaphore,WaitForSingleObject,WaitForSingleObjectEx,GetWindowsDirectoryW,LocalAlloc,FindFirstFileExW,FindFirstFileA,GetModuleFileNameA,CreateFileW,WriteFile,CopyFileExW,CopyFileA,OpenEventW,WaitForSingleObject,WaitForSingleObjectEx,LoadLibraryW,LoadLibraryExW,DuplicateHandle,DeviceIoControl,SwitchToThread,WSACleanup,FreeLibrary,VirtualQueryEx,ResetEvent,VirtualFreeEx,UnregisterClassW
5,worm,39bb4065d226f81e242d655537f6bc043900ee1cb622f5e0daa13cf2d87df42c,GetSystemDirectoryA,IsDBCSLeadByte,LocalAlloc,CreateSemaphoreW,CreateSemaphoreA,GlobalAddAtomW,lstrcpynW,LoadLibraryExW,SearchPathW,CreateFileW,CreateFileMappingW,MapViewOfFileEx,GetSystemMetrics,RegisterClipboardFormatW,SystemParametersInfoW,GetDC,GetDeviceCaps,ReleaseDC,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,GetSystemMetrics,LoadCursorW,RegisterClassW,RegisterClassExW,LoadLibraryExW,LoadLibraryW,GetCommandLineA,GetStartupInfoA,LockResource,GetModuleFileNameA,IsBadWritePtr,RegisterClipboardFormatW,SystemParametersInfoW,GetSystemMetrics,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,LoadLibraryW,LoadLibraryExW,LoadCursorW,RegisterClassW,GetKeyboardType,GetCommandLineA,GetStartupInfoA,GetVersion,GetModuleFileNameA,lstrcpynA,GetThreadLocale,GetLocaleInfoW,GetLocaleInfoA,lstrlenA,LoadLibraryExW,SearchPathW,FindResourceExW,LoadResource,LoadStringA,LocalAlloc,VirtualAllocEx,GetThreadLocale,GetLocaleInfoA,GetLocaleInfoW,EnumCalendarInfoA,CreateEventA,LoadLibraryExW,lstrcpyA,CompareStringA,lstrcmpA,WaitForSingleObjectEx,WaitForSingleObject,GetProcessVersion,GlobalAlloc,DuplicateHandle,WSAStartup,LoadLibraryExW,CreateSemaphoreA,CreateSemaphoreW,ReleaseSemaphore,WaitForSingleObject,WaitForSingleObjectEx,GetWindowsDirectoryW,LocalAlloc,FindFirstFileExW,FindFirstFileA,GetModuleFileNameA,CreateFileW,WriteFile,CopyFileExW,CopyFileA,OpenEventW,WaitForSingleObject,WaitForSingleObjectEx,LoadLibraryW,LoadLibraryExW,DuplicateHandle,DeviceIoControl,SwitchToThread,WSACleanup,FreeLibrary,VirtualQueryEx,ResetEvent,VirtualFreeEx,UnregisterClassW
6,worm,55c28b4aace9bff19eab76cf7a800390f2bda2609ab54a37e9f227a0e1286be8,GetSystemDirectoryA,IsDBCSLeadByte,LocalAlloc,CreateSemaphoreW,CreateSemaphoreA,GlobalAddAtomW,lstrcpynW,LoadLibraryExW,SearchPathW,CreateFileW,CreateFileMappingW,MapViewOfFileEx,GetSystemMetrics,RegisterClipboardFormatW,SystemParametersInfoW,GetDC,GetDeviceCaps,ReleaseDC,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,GetSystemMetrics,LoadCursorW,RegisterClassW,RegisterClassExW,LoadLibraryExW,LoadLibraryW,GetCommandLineA,GetStartupInfoA,LockResource,GetModuleFileNameA,IsBadWritePtr,RegisterClipboardFormatW,SystemParametersInfoW,GetSystemMetrics,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,LoadLibraryW,LoadLibraryExW,LoadCursorW,RegisterClassW,GetKeyboardType,GetCommandLineA,GetStartupInfoA,GetVersion,GetModuleFileNameA,lstrcpynA,GetThreadLocale,GetLocaleInfoW,GetLocaleInfoA,lstrlenA,LoadLibraryExW,SearchPathW,FindResourceExW,LoadResource,LoadStringA,LocalAlloc,VirtualAllocEx,GetThreadLocale,GetLocaleInfoA,GetLocaleInfoW,EnumCalendarInfoA,CreateEventA,LoadLibraryExW,lstrcpyA,CompareStringA,lstrcmpA,WaitForSingleObjectEx,WaitForSingleObject,GetProcessVersion,GlobalAlloc,DuplicateHandle,WSAStartup,LoadLibraryExW,CreateSemaphoreA,CreateSemaphoreW,ReleaseSemaphore,WaitForSingleObject,WaitForSingleObjectEx,GetWindowsDirectoryW,LocalAlloc,FindFirstFileExW,FindFirstFileA,GetModuleFileNameA,CreateFileW,WriteFile,CopyFileExW,CopyFileA,OpenEventW,WaitForSingleObject,WaitForSingleObjectEx,LoadLibraryW,LoadLibraryExW,DuplicateHandle,DeviceIoControl,SwitchToThread,WSACleanup,FreeLibrary,VirtualQueryEx,ResetEvent,VirtualFreeEx,UnregisterClassW
7,worm,643a3bcc5e86e0c235bd64cb1c650007173b1902235b8ef51dbee2c2ab61699b,GetSystemDirectoryA,IsDBCSLeadByte,LocalAlloc,CreateSemaphoreW,CreateSemaphoreA,GlobalAddAtomW,lstrcpynW,LoadLibraryExW,SearchPathW,CreateFileW,CreateFileMappingW,MapViewOfFileEx,GetSystemMetrics,RegisterClipboardFormatW,SystemParametersInfoW,GetDC,GetDeviceCaps,ReleaseDC,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,GetSystemMetrics,LoadCursorW,RegisterClassW,RegisterClassExW,LoadLibraryExW,LoadLibraryW,GetCommandLineA,GetStartupInfoA,LockResource,GetModuleFileNameA,IsBadWritePtr,RegisterClipboardFormatW,SystemParametersInfoW,GetSystemMetrics,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,LoadLibraryW,LoadLibraryExW,LoadCursorW,RegisterClassW,GetKeyboardType,GetCommandLineA,GetStartupInfoA,GetVersion,GetModuleFileNameA,lstrcpynA,GetThreadLocale,GetLocaleInfoW,GetLocaleInfoA,lstrlenA,LoadLibraryExW,SearchPathW,FindResourceExW,LoadResource,LoadStringA,LocalAlloc,VirtualAllocEx,GetThreadLocale,GetLocaleInfoA,GetLocaleInfoW,EnumCalendarInfoA,CreateEventA,LoadLibraryExW,lstrcpyA,CompareStringA,lstrcmpA,WaitForSingleObjectEx,WaitForSingleObject,GetProcessVersion,GlobalAlloc,DuplicateHandle,WSAStartup,LoadLibraryExW,CreateSemaphoreA,CreateSemaphoreW,ReleaseSemaphore,WaitForSingleObject,WaitForSingleObjectEx,GetWindowsDirectoryW,LocalAlloc,FindFirstFileExW,FindFirstFileA,GetModuleFileNameA,CreateFileW,WriteFile,CopyFileExW,CopyFileA,OpenEventW,WaitForSingleObject,WaitForSingleObjectEx,LoadLibraryW,LoadLibraryExW,DuplicateHandle,DeviceIoControl,SwitchToThread,WSACleanup,FreeLibrary,VirtualQueryEx,ResetEvent,VirtualFreeEx,UnregisterClassW
8,worm,6a5f5a2bd476b874b7e05852c522c0c5cd028e7c1d215bd026e3a3d60f6232fb,GetSystemDirectoryA,IsDBCSLeadByte,LocalAlloc,CreateSemaphoreW,CreateSemaphoreA,GlobalAddAtomW,lstrcpynW,LoadLibraryExW,SearchPathW,CreateFileW,CreateFileMappingW,MapViewOfFileEx,GetSystemMetrics,RegisterClipboardFormatW,SystemParametersInfoW,GetDC,GetDeviceCaps,ReleaseDC,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,GetSystemMetrics,LoadCursorW,RegisterClassW,RegisterClassExW,LoadLibraryExW,LoadLibraryW,GetCommandLineA,GetStartupInfoA,LockResource,GetModuleFileNameA,IsBadWritePtr,RegisterClipboardFormatW,SystemParametersInfoW,GetSystemMetrics,LocalAlloc,GetSysColor,GetSysColorBrush,GetStockObject,LoadLibraryW,LoadLibraryExW,LoadCursorW,RegisterClassW,GetKeyboardType,GetCommandLineA,GetStartupInfoA,GetVersion,GetModuleFileNameA,lstrcpynA,GetThreadLocale,GetLocaleInfoW,GetLocaleInfoA,lstrlenA,LoadLibraryExW,SearchPathW,FindResourceExW,LoadResource,LoadStringA,LocalAlloc,VirtualAllocEx,GetThreadLocale,GetLocaleInfoA,GetLocaleInfoW,EnumCalendarInfoA,CreateEventA,LoadLibraryExW,lstrcpyA,CompareStringA,lstrcmpA,WaitForSingleObjectEx,WaitForSingleObject,GetProcessVersion,GlobalAlloc,DuplicateHandle,WSAStartup,LoadLibraryExW,CreateSemaphoreA,CreateSemaphoreW,ReleaseSemaphore,WaitForSingleObject,WaitForSingleObjectEx,GetWindowsDirectoryW,LocalAlloc,FindFirstFileExW,FindFirstFileA,GetModuleFileNameA,CreateFileW,WriteFile,CopyFileExW,CopyFileA,OpenEventW,WaitForSingleObject,WaitForSingleObjectEx,LoadLibraryW,LoadLibraryExW,DuplicateHandle,DeviceIoControl,SwitchToThread,WSACleanup,FreeLibrary,VirtualQueryEx,ResetEvent,VirtualFreeEx,UnregisterClassW
9,worm,6fcc44c8b1a27a321a01d1fd52137e4094937cad5c82e700efdd32241669c49c,GetVersion,CreateFileW,CreateFileA,VirtualAllocEx,VirtualQueryEx,VirtualFreeEx,FormatMessageA,FindResourceExW,LoadResource,LoadStringW,lstrcpyW,GetThreadLocale,lstrcmpiW,GlobalAlloc,GlobalLock,GlobalUnlock,GlobalReAlloc,RegisterClipboardFormatW,SetWindowsHookExW,UnhookWindowsHookEx,GetVersion,OpenEventW,IsBadWritePtr,CreateMutexW,LoadLibraryExW,LoadLibraryW,LoadStringW,FindResourceExW,LoadResource,GetProcessWindowStation,GetUserObjectInformationW,lstrcpyW,CharPrevW,lstrcpynW,GetSystemDirectoryW,CreateMutexW,lstrcatW,CharLowerBuffW,CharLowerW,GetFullPathNameW,lstrcpyW,LoadLibraryExW,LoadLibraryW,ReleaseMutex,CreateFileMappingW,MapViewOfFileEx,CreateMutexW,GetThreadLocale,GetLocalTime,WaitForMultipleObjectsEx,WaitForMultipleObjects,lstrcpyW,LocalAlloc,LoadLibraryW,LoadLibraryExW,DuplicateHandle,GetComputerNameW,CreateIoCompletionPort,CreateFileW,SetNamedPipeHandleState,TransactNamedPipe,LocalAlloc,WaitForSingleObjectEx,DeviceIoControl,GetThreadLocale,CreateMutexW,WaitForMultipleObjects,WaitForMultipleObjectsEx,CharLowerW,lstrcpyW,ReleaseMutex,CharUpperBuffW,lstrcpynW,GetLocalTime,CharLowerBuffW,LocalAlloc,WaitForMultipleObjects,WaitForMultipleObjectsEx,lstrcpyW,ReleaseMutex,LoadLibraryW,LoadLibraryExW,GetVersion,CreateEventA,LocalAlloc,GetLocalTime,SystemTimeToFileTime,WaitForSingleObjectEx,WaitForSingleObject,ReleaseMutex,WaitForMultipleObjects,WaitForMultipleObjectsEx,lstrcpyW,CreateFileW,LoadLibraryExW,lstrlenA,LocalAlloc,GetThreadLocale,CompareStringA,lstrcmpA,,,,,
