,class,meaning
0,SetROP2,"Microsoft Build · May 19 – 22, 2025This section provides an example of the EMF EMR_SETROP2 record ([MS-EMF] section 2.3.11.23).  00000140:    14 00 00 00SetROP2 function (wingdi.h) The SetROP2 function sets the current foreground mix mode.This section provides an example of the EMF EMR_SETROP2 record ([MS-EMF] section 2.3.11.23).The EMR_SETROP2 record defines a binary raster operation mode. 0 1 2 3 4 5 6 7 8 9 10 1 2The META_SETROP2 Record defines the foreground raster operation mix mode in the playback device context.Contains parameters for the SelectClipPath, SetBkMode, SetMapMode, SetPolyFillMode, SetROP2, SetStretchBltMode, SetTextAlign, SetICMMode , and SetLayout enhanced metafile records.Graphics mode Function Background SetBkMode Drawing SetROP2 Mapping SetMapMode Polygon-fill SetPolyFillMode Stretching SetStretchBltModeAn application sets the foreground mix mode by using the SetROP2 function and retrieves the current mode by using the GetROP2 function.PaintRgn PatBlt Pie Polygon Polyline PolyPolygon RealizePalette Rectangle ResizePalette RestoreDC RoundRect SaveDC ScaleViewportExtEx ScaleWindowExtEx SelectClipRgn SelectObject SelectPaletteSetBkColor SetBkMode SetDIBitsToDevice SetMapMode SetMapperFlags SetPaletteEntries SetPixel SetPolyFillMode SetROP2SetROP2 Sets the foreground mix mode."
1,AddAtomW,"Microsoft Build · May 19 – 22, 2025AddAtomW function (winbase.h) Adds a character string to the local atom table and returns a unique value (an atom) identifying the string. Syntax Parameters [in] lpString Type: LPCTSTR The null-terminated string to be added. The string can have a maximum size of 255 bytes. Strings differing only in case are considered identical. Requir... Adds a.Win32-based applications should use the ReadFile function. _lwrite Writes data to the specified file. AddAtomA Adds a character string to the local atom table and returns a unique value (an atom) identifying the string. (ANSI) AddAtomW Adds a character string to the local atom table and returns a unique value (an atom) identifying the string..Data Exchange Overview of the Data Exchange technology. To develop Data Exchange, you need these headers: dde.h ddeml.h wingdi.h For programming guidance for this technology, see: Data Exchange Functions AddAtomA Adds a character string to the local atom table and returns a unique value (an atom) identifying the string. (ANSI) AddAtomW Adds a."
2,GetSystemPaletteEntries,"Microsoft Build · May 19 – 22, 2025GetSystemPaletteEntries function (wingdi.h) The GetSystemPaletteEntries function retrieves a range of palette entries from the system palette that is associated with the specified device context (DC). Syntax Parameters [in] hdc A handle to the device context. [in] iStart The first entry to be retrieved from the system palette. [in] cEntries The.To develop Windows GDI, you need ... (Unicode) GetPaletteEntries The GetPaletteEntries function retrieves a specified range of palette entries from the given logical palette. GetSystemPaletteEntries The GetSystemPaletteEntries function retrieves a range of palette entries from the system palette that is associated with the specified device context.GetPaletteEntries function (wingdi.h) The GetPaletteEntries function retrieves a specified range of palette entries from the given logical palette. Syntax Parameters [in] hpal A handle to the logical palette. [in] iStart The first entry in the logical palette to be retrieved. [in] cEntries The number of entries in the logical palette to be.(Unicode) GetPaletteEntries The GetPaletteEntries function retrieves a specified range of palette entries from the given logical palette. GetSystemPaletteEntries The GetSystemPaletteEntries function retrieves a range of palette entries from the system palette that is associated with the specified device context (DC). GetSystemPaletteUse The.Color Functions The following functions are used with color. GetPaletteEntries Retrieves a specified range of palette entries from the given logical palette. GetSystemPaletteEntries Retrieves a range of palette entries from the system palette that is associated with the specified DC. GetSystemPaletteUse Retrieves the current state of the system.System Palette The system maintains a system palette for each device that uses palettes. Instead, the system has complete control of the system palette and permits access ... An application can view the contents of the system palette by using the GetSystemPaletteEntries function. This function retrieves the contents of one or more entries, up to.To do t... Then call GetSystemPaletteEntries and fill in the first and last NUMRESERVED/2 entries of the logical palette with the corresponding system colors. For example, if NUMRESERVED is 20, you would fill in the first and last 10 entries of the logical palette with the system colors. To enable applications to place output in memory rather than.GetNearestPaletteIndex function (wingdi.h) The GetNearestPaletteIndex function retrieves the index for the entry in the specified logical palette most closely matching a specified color value. Requirements Requirement Value Minimum supported client Windows 2000 Professional [desktop apps only] Minimum supported server Windows 2000 Server [desktop.Applications can retrieve the system palette colors and indexes by calling the GetSystemPaletteEntries function. Requirements Requirement Value Minimum supported client Windows 2000 Professional [desktop apps only] Minimum supported server Windows 2000 Server [desktop apps only] Target Platform Windows Header wingdi.h (include Windows.h) Library.SetDIBitsToDevice function (wingdi.h) The SetDIBitsToDevice function sets the pixels in the specified rectangle on the device that is associated with the destination device context using color data from a DIB, JPEG, or PNG image. Remarks Optimal bitmap drawing speed is obtained when the bitmap bits are indexes ... Applications can retrieve the."
3,CompareFileTime,"Microsoft Build · May 19 – 22, 2025CompareFileTime function (fileapi.h) Compares two file times. Syntax Parameters [in] lpFileTime1 A pointer to a FILETIME structure that specifies the first file time. [in] lpFileTime2 A pointer to a FILETIME structure that specifies the second file time. Return value The return value is one of the following values. Return value Description -1.Table of contents Exit focus mode Save Table of contents Add Edit Share via Facebook x.com LinkedIn Email Print File Times A file time is a 64-bit value that represents the number of 100-nanosecond intervals that have elapsed since 12:00 A.M. January 1, 1601 Coordinated Universal Time... You can compare the times of different files by using the.Table of contents Exit focus mode Save Table of contents Add Edit Share via Facebook x.com LinkedIn Email Print fileapi.h header This header is used by multiple technologies. For more information, see: Data Access and Storage System Services fileapi.h contains the following programming interfaces: Functions AreFileApisANSI Determines whether the.TzSpecificLocalTimeToSystemTimeEx Converts a local time with dynamic daylight saving time settings to UTC timeThe following functions are used with file time. Function Description CompareFileTime Compares two file times. FileTimeToLocalFileTime Converts a UTC file time to a local file time. FileTimeToSystemTime Converts a file time to system time.FILETIME structure (minwinbase.h) Contain... Requirements Requirement Value Minimum supported client Windows 2000 Professional [desktop apps | UWP apps] Minimum supported server Windows 2000 Server [desktop apps | UWP apps] Header minwinbase.h (include Windows.h) See also CompareFileTime File Times FileTimeToSystemTime GetFileTime ULARGE_INTEGER..The GetLastModifiedTime method is similar to the IHttpFileInfo::GetLastModifiedString method, except that you can use the FILETIME structure for comparisons that use functions like CompareFileTime and for calculations that use functions like FileTimeToSystemTime. Requirements Type Description Client - IIS 7.0 on Windows Vista- IIS 7.5 on.StgCreateDocfileOnILockBytes Introduced into api-ms-win-core-com-l2-1-1.dll in 10.0.10240. StgIsStorageFile Introduced into api-ms-win-core-com-l2-1-1.dll in 10.0.10240. APIs from api-ms-win-core-datetime-l1-1-1.dll API Requirements GetDateFormatEx Introduced into api-ms-win-core-datetime-l1-1-1.dll in 10.0.10240. Moved into."
4,GetThreadLocale,"Microsoft Build · May 19 – 22, 2025GetThreadLocale function (winnls.h) Returns the locale identifier of the current locale for the calling thread.Note  This function can retrieve data that changes between releases, for example, due to a custom locale. Syntax Return value Returns the locale identifier of the locale associated with the current thread. Requirements Requirement Value.EnumSystemGeoNames Enumerates the two-letter International Organization for Standardization (ISO) 3166-1 codes or numeric United Nations (UN) Series M, Number 49 (M.49) codes for geographical locations that are available on the operating system. EnumSystemLangua... GetSystemDefaultLocaleName Retrieves the system default locale name..For more informat... Language of localized version. Function GetThreadLocale GetKeyboardLayout GetSystemDefaultUILanguage System UI language, system preferred UI languages User UI language, user preferred UI languages Thread preferred UI languages Purpose Determine the language of menus and dialogs, messages, INF files, and help files for the.GetSystemDefaultLocaleName Retrieves the system default locale name.Note  It is recommended that ... GetThreadLocale Returns the locale identifier of the current locale for the calling thread.Note  This function can retrieve data that changes between releases, for example, due to a custom locale. GetThreadPreferredUILanguages Retrieves the thread.For example, a supplemental locale specific to a company called Fabricam might be called ""en-U... An application can retrieve the current locale names by using the GetSystemDefaultLocaleName and GetUserDefaultLocaleName functions. While each thread can retrieve and set its own locale identifier with GetThreadLocale and set it with SetThreadLocale,.Working with Custom Locales This topic provides some instructions for handling custom locales in your applications. For replacement locales, your application should generally consult locale-specific ... For example, when GetThreadLocale retrieves the current locale as English (United States), it might actually be a replacement locale that should.The locale identifier is a standard international numeric abbreviation and has the components necessary to uniquely identify one of the installed operating system-defined locales. LOCALE_INVARIANT LOCALE_SYSTEM_DEFAULT LOCALE_USER_DEFAULT Retrieval of Locale Identifiers An applic... Each thread can set and retrieve its own locale with.GetSystemDefaultUILang... GetSystemPreferredUILanguages Retrieves the system preferred UI languages. GetThreadLocale Returns the locale identifier of the current locale for the calling thread.Note  This function can retrieve data that changes between releases, for example, due to a custom locale. GetThreadPreferredUILanguages Retrieves the thread.IBackgroundCopyManager::GetErrorDescription method (bits.h) Retrieves a description for the specified error code. Syntax Parameters [in] hResult Error code from a previous call to a B... MAKELANGID(LANG_ENGLISH, SUBLANG_ENGLISH_US) To retrieve the system's default user language identifier, use the following calls. LANGIDFROMLCID(GetThreadLocale()).MAKELANGID(LANG_ENGLISH, SUBLANG_ENGLISH_US) To retrieve the system's default user language identifier, use the following calls. LANGIDFROMLCID(GetThreadLocale()) [out] pErrorDescription Null-terminated string that contains the error text associated with the error. Call the CoTaskMemFree function to free ppErrorDescription when done. ...."
5,DrawIconEx,"Microsoft Build · May 19 – 22, 2025DrawIconEx function (winuser.h) Draws an icon or cursor into the specified device context, performing the specified raster operations, and stretching or compressing the icon or cursor as specified. Syntax Parameters [in] hdc Type: HDC A handle to the device context into which the icon or cursor will be drawn. [in] xLeft Type: int The logical.DrawIcon function (winuser.h) Draws an icon or cursor into the specified device context. To specify additional drawing options, use the DrawIconEx function. Syntax Parameters [in] hDC Type: HDC A handle to the device context into which the icon or cursor will be drawn. [in] X Type: int The logical x-coordinate of the upper-left corner of the icon..DestroyResourceIndexer Frees the computational resources associated with the s... DrawIcon Draws an icon or cursor into the specified device context. DrawIconEx Draws an icon or cursor into the specified device context, performing the specified raster operations, and stretching or compressing the icon or cursor as specified. DrawMenuBar Redraws.Icons (Menus and Other Resources) An icon is a picture that consists of a bitmap image combined with a mask to create transparent areas in the picture. DestroyIcon Destroys an icon and frees any memory the... DrawIcon Draws an icon or cursor into the specified device context. DrawIconEx Draws an icon or cursor into the specified device context,.About Icons The system uses... The CreateIconFromResource, DrawIcon, ExtractAssociatedIcon, ExtractIcon, ExtractIconEx, and LoadIcon functions all use system large icons. Icon Display You can retrieve the image for an icon by using the GetIconInfo function, and can draw it by using the DrawIconEx function. To draw the default image for a icon,.winuser.h header This header is used by multiple technologies. For more information, see: Data Exchange Desktop Window Manager (DWM) Developer Notes Dialog Bo... DrawFrameControl The DrawFrameControl function draws a frame control of the specified type and style. DrawIcon Draws an icon or cursor into the specified device context. DrawIconEx Draws.An application repla... An application can use the GetIconInfo function to retrieve the current image for a cursor and can draw the cursor by using the DrawIconEx function. Custom cursors are designed for use in a specific application and can be any design the developer defines. The CreateIconFromResourceEx function enables an application to.Icon Functions In This Section CopyIcon CreateIcon CreateIconFromResource CreateIconFromResourceEx CreateIconIndirect DestroyIcon DrawIcon DrawIconEx DuplicateIcon ExtractAssociatedIcon ExtractIcon ExtractIconEx GetIconInfo GetIconInfoEx LoadIcon LookupIconIdFromDirectory LookupIconIdFromDirectoryEx PrivateExtractIcons. Icon Functions..SetupDiDrawMiniIcon function (setupapi.h) The SetupDiDrawMiniIcon function draws the specified mini-icon at the location r... Instead of SetupDiDrawMiniIcon, you should use SetupDiLoadClassIcon together with DrawIcon or DrawIconEx to draw the 32-bit version of the icon. The following is an example of how to use DrawIconEx to display an icon: For.Requirements Requirement Value Minimum supported client Windows 2000 Professional [desktop apps only] Minimum supported server Windows 2000 Server [desktop apps only] Target Platform Windows Header winuser.h (include Windows.h) Library User32.lib DLL User32.dll API set ext-ms-win-ntuser-gui-l1-3-0 (introduced in Windows 10, version 10.0.10240) See."
6,WinHelpA,"Microsoft Build · May 19 – 22, 2025WinHelpA function (winuser.h) Launches Windows Help (Winhelp.exe) and passes additional data that indicates the nature of the help requested by the application. Syntax Parameters hWndMain Type: HWND A handle to the window requesting help. The WinHelp function uses this handle to keep track of which applications have requested help. If the uCommand.COleIPFrameWndEx Class The COl... COleIPFrameWndEx::ShowPane COleIPFrameWndEx::WinHelpA Called by the framework to initiate the WinHelp application or context help. Remarks COleIPFrameWndEx::ShowPane Parameters [in] pBar [in] bShow [in] bDelay [in] bActivate Remarks COleIPFrameWndEx::WinHelpA Called by the framework to initiate the WinHelp.Enables the derived class to issue a command through... _FindTBar Deprecated. Returns the index of a browser toolbar item based on Component Object Model (COM) identity rules. _get_itbLastFocus Deprecated. Gets the ID of the last toolbar or view that had focus. _GetBorderDWHelper Deprecated. A helper method for the implementation of GetBorderDW..winuser.h header This header is used by multiple technologies. For more information, see: Data Exchange Desktop Window Manager (DWM) Developer Notes Dialog Boxes Display Devices Reference High DPI Input Feedback Configuration Input Source Identification Internationalization for Windows Applications Keyboard and Mouse Input Menus and Other."
7,SetClipboardViewer,"Microsoft Build · May 19 – 22, 2025SetClipboardViewer function (winuser.h) Adds the specified window to the chain of clipboard viewers. Clipboard viewer windows receive a WM_DRAWCLIPBOARD message whenever the content of the clipboard changes. This function is used for backward compatibility with earlier versions of Windows. Requirements Requirement Value Minimum supported client.Table of contents Exit focus mode Save Table of contents Add Edit Share via Facebook x.com LinkedIn Email Print Clipboard The clipboard is a set of functions and messages that enable applications to transfer data. SetClipboardViewer Adds the specified window to the chain of clipboard viewers. Clipboard viewer windo... Yes No Provide product.This enables a clipboard viewer window to display the new content of the clipboard. Each window that receives the WM_DRAWCLIPBOARD message must call the SendMessage function to pass the message on to the next window in the clipboard viewer chain. The handle to the next window in the chain is returned by SetClipboardViewer, and may change in.The handle must have been passed to the SetClipboardViewer function. [in] hWndNewNext Type: HWND A handle to the window that follows the hWndRemove window in the clipboard viewer chain. The SetClipboardViewer function sends a WM_CHANGECBCHAIN message to the first window in the clipboard viewer chain. Requirements Requirement Value Minimum.Initially, this handle is the return value of the SetClipboardViewer function. When a clipboard viewer window receives the WM_CHANGECBCHAIN message, it should call the SendMessage function to pass the message to the next window in the chain, unless the next window is the window being removed. In this case, the clipboard viewer should save the.Data Exchange Overview of the Data Exchange technology. To develop Data Exchange, you need these headers: dde.h ddeml.h wingdi.h For programming guidance for this technology, see: Data Exchange Functions AddAtomA Adds a character string to... SetClipboardData Places data on the clipboard in a specified clipboard format. SetClipboardViewer Adds the.CWindow::OpenClipboard Opens the Clipboard. CWindow::PrevDlgCtrl Sets the keyboard focus to the previous control in the dialog box. CWindow::SetClipboardViewer Adds the window to the Clipboard viewer chain. CWindow::SetDlgCtrlID Changes the window's identifier. CWindow::SetFocus Sets the input focus to the window. Remarks See SetCapture in the.About the Clipboard The clipboard is a set of functions and messages that enable applications to transfer data. Because all applications have access to the clipboard, data can be easily transferred between a... The following topics are discussed in this section. Clipboard Viewer Windows Display Formats Owner Display Format Clipboard Viewer Windows.Clipboard Functions In this section AddClipboardFormatListener ChangeClipboardChain CloseClipboard CountClipboardFormats EmptyClipboard EnumClipboardFormats GetClipboardData GetClipboardFormatName GetClipboardOwner GetClipboardSequenceNumber GetClipboardViewer GetOpenClipboardWindow GetPriorityClipboardFormat GetUpdatedClipboardFormats.Remarks If the window being destroyed is part of the clipboard viewer chain (set by calling the SetClipboardViewer function), the window must remove itself from the chain by processing the ChangeClipboardChain function before returning from the WM_DESTROY message. Requirements Requirement Value Minimum supported client Windows 2000 Professional."
8,GlobalFlags,"Microsoft Build · May 19 – 22, 2025GFlags Overview GFlags (gflags.exe), the Global Flags Editor, enables and disables advanced internal system diagnostic and troubleshooting features. You can run GFlags from a Command Prompt window or use its graphical user interface dialog box. For information on how to install and locate gflags.exe, see GFlags. Use GFlags to activate the.GlobalFlags function (winbase.h) Retrieves information about the specified global memory object. Note  This function is provided only for compatibility with 16-bit versions of Windows. New applications should use the heap functions. Requirements Requirement Value Minimum supported client Windows XP [desktop apps only] Minimum supported server.globalFlags (LANPolicy) element The globalFlags (LANPolicy) element contains the global settings for the automatic configuration of wired networks. ...ean Specifies whether machines use the built-in automatic configuration service to manage connections to wired networks that require layer 2 authentication (such as 802.1X). enableExplicitCreds.To open the GFlags dialog box: To set or clear global flags in the registry: To set or clear global flags for the current session: To set or clear global flags for an image file: To set or clear the Special Pool feature (Windows Vista and later) To enable or disable the Object Reference Tracing feature (Windows Vista and later) To enable and.globalFlags (WLANPolicy) element The globalFlags (WLANPolicy) element contains the global settings for the Auto Configuration Module (ACM). ...oint. enableExplicitCreds boolean Indicates whether to enable explicit credentials. blockPeriod The value of the block timeout period. enableWFD boolean Flag to indicate whether to enable WFD. enableAutoCo.Example 13: Listing Image Files with Global Flags GFlags displays the flags set for a particular image file, but it does not display all image files that have flags set. Windows stores flags for an image file that the GlobalFlag registry entry in a registry subkey named for the image file in the following registry path, HKEY_LOCAL_MACHINE.dcl_globalFlags (sm4 - asm) Declares shader global flags. dcl_globalFlags flags flags [in] A global shader flag. REFACTORING_ALLOWED - Permits the driver to reorder arithmetic operations for optimization, as shown here. Remarks This optional instruction applies to the following shader stages: Vertex Shader Geometry Shader Pixel Shader x x x This.LAN_policy schema elements A wired (LAN) policy profile contains the following schema elements. All of the named elements are in the namespace https://www.microsoft.com/networking/LAN/policy/v1. All elements LANPolicy name (LANPolicy) description (LANPolicy) globalFlags (LANPolicy) enableAutoConfig (globalFlags) enableExplicitCreds (globalFlags).GFlags Details GFlags enables and disables system features by editing the Windows registry and internal settings. This section explains the operation of GFlags in detail and includes tips for using GFlags most efficiently. General Information To display the GFlags dialog box, at the command line, type gflags (with no parameters). GFlags.To return information about a specified memory object, use the GlobalFlags or LocalFlags function. The information includes the object's lock count and indicates whether the object is discardable or has already been discarded. To return a handle to the memory object associated with a specified pointer, use the GlobalHandle or LocalHandle function.."
9,recv,"Microsoft Build · May 19 – 22, 2025The recv function is used in programming to receive data from a connected socket. It is part of the Windows Sockets API and returns an integer value indicating the number of bytes received or an error. The function takes parameters such as the active socket, a buffer to store the received data, the number of bytes to receive, and any flags to use. It is commonly used in both server and client applications to handle incoming data over a network connection.References:recv function (winsock2.h) The recv function receives data from a connected socket or a bound connectionless socket. Syntax Parameters [in] s The descriptor that identifies a connected socket. [out] buf A pointer to the buffer to receive the incoming data. [in] len The length, in bytes, of the buffer pointed to by the buf parameter. [in] flags A.recv function (winsock.h) The recv function receives data from a connected socket or a bound connectionless socket. Syntax Parameters [in] s The descriptor that identifies a connected socket. [out] buf A pointer to the buffer to receive the incoming data. [in] len The length, in bytes, of the buffer pointed to by the buf parameter. [in] flags A.ftp recv Copies a remote file to the local computer using the current file transfer type. Syntax Parameters Parameter Description Specifies the remote file to copy. [] Specifies the name of the file to use on the local computer. Examples To copy test.txt to the local computer using the current file transfer, type... Reference article for the ftp.MPI_Recv function Performs a receive operation and does not return until a matching message is received. Requirements Product HPC Pack 2012 MS-MPI Redistributable Package, HPC Pack 2008 R2 MS-MPI Redistributable Package, HPC Pack 2008 MS-MPI Redistributable Package or HPC Pack 2008 Client Utilities Header Mpi.h; Mpif.h Library Msmpi.lib DLL.Receiving and Sending Data on the Server The following code demonstrates the recv and send functions used by the server. To receive and send data on a socket The send and recv functions both return an integer value of the number of bytes sent or received, respectively, or an error. Next Step: Disconnecting the Server Related topics Getting Started.Communicate with a real-time capable application Azure Sphere supports inter-core communication between high-level applications and real-time capable applications (RTApp). While the file descriptor is open, you can perform operations on it, such as send/recv. The IntercoreComms sample demonstrate how to use a high-level application to communicate.A discussion of OOB data implemented using TCP urgent data follows the protocol-independent explanation. In each discussion, the use of recv also implies recvfrom, WSARecv, and WSARecvFrom, and references to WSAAsyncSelect also apply to WSAEventSelect. ... If OOB data remains after any call to recv, Windows Sockets notifies the application with.shutdown function (winsock.h) The shutdown function disables sends or receives on a socket. Remarks The shutdown function is used on all types of sockets to ... If the how parameter is SD_RECEIVE, subsequent calls to the recv function on the socket will be disallowed. When FD_CLOSE received, call the recv or WSARecv until the function completes.WSARecvEx function (mswsock.h) The WSARecvEx function receives data from a connected socket or a bound connectionless socket. The WSARecvEx function is similar to the recv function, except that the flags parameter is used only to return information. Remarks The WSARecvEx function that is part of the Microsoft impleme... The recv function is.WSARecvEx function (winsock.h) The WSARecvEx function receives data from a connected socket or a bound connectionless socket. The WSARecvEx function is similar to the recv function, except that the flags parameter is used only to return information. Remarks The WSARecvEx function that is part of the Microsoft impleme... The recv function is."
